Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,Price_outlier,Price_log
The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,"Arts, Film & Photography",Cinema & Broadcast,Paperback,169.0,4.4,19923,False,5.135798437050262
"Black Holes (L) : The Reith Lectures [] Hawking, Stephen",Stephen Hawking,"Arts, Film & Photography",Cinema & Broadcast,Paperback,99.0,4.5,7686,False,4.605170185988092
The Kite Runner,Khaled Hosseini,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,175.75,4.6,50016,False,5.174736304776682
Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,"Arts, Film & Photography",Cinema & Broadcast,Paperback,389.0,4.6,32040,False,5.966146739123692
"The Science of Storytelling: Why Stories Make Us Human, and How to Tell Them Better",Will Storr,"Arts, Film & Photography",Cinema & Broadcast,Paperback,348.16,4.5,1707,False,5.855530269867149
Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,313.95,4.5,15122,False,5.752413896067938
Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,313.95,4.6,10152,False,5.752413896067938
Desperately Seeking Shah Rukh : India's Lonely Young Women and the Search for Intimacy and Independence,Shrayana Bhattacharya,"Arts, Film & Photography",Cinema & Broadcast,Paperback,348.16,4.5,539,False,5.855530269867149
Save the Cat!: The Last Book on Screenwriting You'll Ever Need,Blake Snyder,"Arts, Film & Photography",Cinema & Broadcast,Paperback,850.0,4.5,7060,False,6.7464121285733745
Screenplay,Syd Field,"Arts, Film & Photography",Cinema & Broadcast,Paperback,644.52,4.5,3216,False,6.470056193540251
One Day,David Nicholls,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,892.0,4.2,10550,True,6.794586580876499
SACH KAHUN TOH: AN AUTOBIOGRAPHY,NEENA GUPTA,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,361.0,4.4,1558,False,5.891644211825771
A PRINCESS REMEMBERS (),Maharani Gayatri,"Arts, Film & Photography",Cinema & Broadcast,Paperback,572.0,4.5,719,False,6.35088571671474
The Anatomy of Story,John Truby,"Arts, Film & Photography",Cinema & Broadcast,Paperback,479.0,4.6,2871,False,6.173786103901937
Studio Ghibli: The Complete Works,Studio Ghibli,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,2132.78,4.8,226,True,7.665650333763767
"Story: Style, Structure, Substance, and the Principles of Screenwriting",Robert McKee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,2612.0,4.7,2653,True,7.868254265520613
Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,371.7,4.6,32040,False,5.9207738064852125
BRUCE LEE,Matthew Polly,"Arts, Film & Photography",Cinema & Broadcast,Paperback,424.0,4.7,915,False,6.052089168924417
JOURNEYS IN THE WILD,Sir David Attenborough,"Arts, Film & Photography",Cinema & Broadcast,Paperback,438.0,4.6,389,False,6.0844994130751715
Speaking Of Films (The Penguin Ray Library),Satyajit Ray,"Arts, Film & Photography",Cinema & Broadcast,Paperback,207.0,4.6,311,False,5.337538079701318
Jadunama: Javed Akhtar Ek Safar (Hindi),Arvind Mandloi,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,1358.0,4.3,27,True,7.214504414151143
"Satyajit Ray Miscellany: On Life, Cinema",Satyajit Ray,"Arts, Film & Photography",Cinema & Broadcast,Paperback,401.0,4.6,127,False,5.996452088619021
Unscripted: Conversations on Life and Ci: Conversations on Life and Cinema,Abhijat Joshi,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,423.0,4.5,309,False,6.049733455231958
"FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE � THE COMPLETE SCREENPLAY [] Rowling, J.K. and Kloves, Steve",J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,587.0,4.6,1280,False,6.376726947898627
Conversations with Mani Ratnam (),Baradwaj Rangan,"Arts, Film & Photography",Cinema & Broadcast,Paperback,389.0,4.6,305,False,5.966146739123692
Hitcock,Francois Truffaut,"Arts, Film & Photography",Cinema & Broadcast,Paperback,1463.0,4.7,787,True,7.288927694521257
Indian Cinema: A Very Short Introduction (Very Short Introductions),Ashish Rajadhyaksha,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,176.32,4.2,22,False,5.177956009876853
Basu Chatterji And Middle-of-the-Road Ci: And Middle-of-the-Road Cinema,Anirudha Bhattacharjee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,413.0,4.8,22,False,6.025865973825314
This Life at Play: Memoirs,Girish Karnad,"Arts, Film & Photography",Cinema & Broadcast,Paperback,344.0,4.6,168,False,5.84354441703136
The Supernatural Quiz Book: 500 Questions and Answers on Supernatural: 500 Questions and Answers on Supernatural Season 1,Light Bulb Quizzes,"Arts, Film & Photography",Cinema & Broadcast,Paperback,404.0,5.0,4,False,6.003887067106539
Avatar: The Last Airbender The Art of the Animated Series (Second Edition),Michael Dante DiMartino,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,2148.0,4.9,1615,True,7.67275789664251
On Directing Film,David Mamet,"Arts, Film & Photography",Cinema & Broadcast,Paperback,608.0,4.4,848,False,6.411818267709897
The Magic of MinaLima: Celebrating the Graphic Design Studio Behind the Harry Potter & Fantastic Beasts Films,MinaLima,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,1709.83,4.8,595,True,7.444733911854839
ILLUSION OF LIFE,Frank Thomas,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4079.0,4.9,1903,True,8.313852267398207
Sara Aakash [] Rajendra Yadav,Rajendra Yadav,"Arts, Film & Photography",Cinema & Broadcast,Paperback,131.0,4.4,177,False,4.882801922586371
The Nutshell Technique: Crack the Secret of Successful Screenwriting,Jill Chamberlain,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,448.35,4.6,593,False,6.1078020941043825
Pixar Storytelling: Rules for Effective Storytelling Based on Pixar's Greatest Films,Dean Movshovitz,"Arts, Film & Photography",Cinema & Broadcast,Paperback,1441.0,4.4,778,True,7.273786317844895
Madhubala: Her Real Life Story (General Press),Manju Gupta,"Arts, Film & Photography",Cinema & Broadcast,Paperback,135.0,3.6,400,False,4.912654885736052
Jiya Jale: The Stories of Songs,Gulzar (In conversation with Nasreen Munni Kabir),"Arts, Film & Photography",Cinema & Broadcast,Hardcover,385.0,4.6,289,False,5.955837369464831
Will,Will Smith,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,1093.0,4.6,22078,True,6.9975959829819265
Mahanati savitri- venditera samragni (Mahanati savitri- venditera samragni),pallavi rg,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,250.0,4.5,22,False,5.5254529391317835
"Winter Kisses at Roseford Café: A escapist, romantic festive read from Fay Keenan",Fay Keenan,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,192.04,4.4,1423,False,5.262897421316776
